scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
in_distribution_origin,conditional_distance_gated,guidance_scale,0.5,0.796,0.204,0.11534687131643295,0.4313383102416992,20.41037368774414,0.027422499988460913
in_distribution_origin,distance_gated,guidance_scale,1.0,0.8220000000000001,0.178,0.11672813445329666,0.6323932409286499,23.2087459564209,0.02768720901804045
in_distribution_origin,conditional_distance_gated,guidance_scale,1.0,0.846,0.154,0.33833977580070496,0.6830887198448181,23.968914031982422,0.028075084002921358
in_distribution_origin,distance_gated,guidance_scale,1.5,0.846,0.154,0.2488541454076767,0.9622911214828491,27.13469886779785,0.027254459011601284
in_distribution_origin,conditional_distance_gated,guidance_scale,1.5,0.88,0.12,0.3626781105995178,1.0425970554351807,28.127731323242188,0.027684375003445894
in_distribution_origin,distance_gated,guidance_scale,2.0,0.9,0.1,0.3563142418861389,1.378252387046814,31.32893943786621,0.02807195801869966
in_distribution_origin,conditional_distance_gated,guidance_scale,2.0,0.9339999999999999,0.066,0.3745208978652954,1.502608060836792,32.60525894165039,0.027679874998284504
in_distribution_origin,distance_gated,guidance_scale,2.5,0.942,0.058,0.42501020431518555,1.8673095703125,35.589271545410156,0.028454459010390565
in_distribution_origin,conditional_distance_gated,guidance_scale,2.5,0.962,0.038,0.6397415399551392,2.050471305847168,37.20081329345703,0.027401375002227724
in_distribution_origin,distance_gated,guidance_scale,3.0,0.98,0.02,0.6033108234405518,2.4153499603271484,39.785037994384766,0.027268708014162257
in_distribution_origin,conditional_distance_gated,guidance_scale,3.0,0.982,0.018,0.8475447297096252,2.6731934547424316,41.790706634521484,0.028044207982020453
in_distribution_origin,distance_gated,guidance_scale,4.0,0.99,0.01,0.44682660698890686,3.623826503753662,47.70346450805664,0.02837991699925624
in_distribution_origin,conditional_distance_gated,guidance_scale,4.0,0.994,0.006,0.7661026120185852,4.070065021514893,50.56214141845703,0.028192333003971726
in_distribution_origin,distance_gated,guidance_scale,5.0,0.996,0.004,0.7809211611747742,4.8700852394104,54.7000732421875,0.02795137499924749
in_distribution_origin,conditional_distance_gated,guidance_scale,5.0,0.996,0.004,0.741779625415802,5.5146589279174805,58.301719665527344,0.030100584001047537
ood_shifted_y,baseline,guidance_scale,0.0,0.762,0.238,0.0766620934009552,0.26924341917037964,17.414791107177734,0.022186457994394004
ood_shifted_y,conditional,guidance_scale,0.0,0.8220000000000001,0.178,0.05698603764176369,0.2862992584705353,17.774051666259766,0.02204104099655524
ood_shifted_y,constant,guidance_scale,0.0,0.762,0.238,0.0766620934009552,0.26924341917037964,17.414791107177734,0.02537229098379612
ood_shifted_y,conditional_constant,guidance_scale,0.0,0.8220000000000001,0.178,0.05698603764176369,0.2862992584705353,17.774051666259766,0.02457862501614727
ood_shifted_y,constant,guidance_scale,0.5,0.916,0.084,0.12316901236772537,0.31203150749206543,18.154544830322266,0.02468158397823572
ood_shifted_y,conditional_constant,guidance_scale,0.5,0.944,0.056,0.328819215297699,0.321308970451355,18.39088249206543,0.02474820800125599
ood_shifted_y,constant,guidance_scale,1.0,0.966,0.034,0.28366827964782715,0.37065818905830383,19.070743560791016,0.02621866701520048
ood_shifted_y,conditional_constant,guidance_scale,1.0,0.992,0.008,0.48418617248535156,0.3740421533584595,19.238645553588867,0.027953249984420836
ood_shifted_y,constant,guidance_scale,1.5,0.998,0.002,0.5691943168640137,0.4331774115562439,20.019350051879883,0.025388875015778467
ood_shifted_y,conditional_constant,guidance_scale,1.5,1.0,0.0,1.0773428678512573,0.4340454041957855,20.15910530090332,0.02519604202825576
ood_shifted_y,constant,guidance_scale,2.0,1.0,0.0,1.070926547050476,0.4963526129722595,20.9450626373291,0.02481029200134799
ood_shifted_y,conditional_constant,guidance_scale,2.0,1.0,0.0,1.462342619895935,0.49796366691589355,21.080896377563477,0.02541087500867434
ood_shifted_y,constant,guidance_scale,2.5,1.0,0.0,1.1661807298660278,0.5604900121688843,21.837562561035156,0.025466457998845726
ood_shifted_y,conditional_constant,guidance_scale,2.5,1.0,0.0,1.754738688468933,0.5636790990829468,21.98150062561035,0.025763832993106917
ood_shifted_y,constant,guidance_scale,3.0,1.0,0.0,1.418067216873169,0.624947726726532,22.693592071533203,0.02580116700846702
ood_shifted_y,conditional_constant,guidance_scale,3.0,1.0,0.0,1.7554203271865845,0.6323927640914917,22.859386444091797,0.02659904197207652
ood_shifted_y,constant,guidance_scale,4.0,1.0,0.0,1.619390606880188,0.7527017593383789,24.269241333007812,0.025959458987927064
ood_shifted_y,conditional_constant,guidance_scale,4.0,1.0,0.0,1.2036250829696655,0.7732308506965637,24.498979568481445,0.026011332985945046
ood_shifted_y,constant,guidance_scale,5.0,1.0,0.0,1.6387243270874023,0.8727558851242065,25.62103843688965,0.025591833022190258
ood_shifted_y,conditional_constant,guidance_scale,5.0,1.0,0.0,1.7055269479751587,0.9059566259384155,25.896745681762695,0.026078583003254607
ood_shifted_y,distance_gated,guidance_scale,0.0,0.762,0.238,0.0766620934009552,0.26924341917037964,17.414791107177734,0.02940729199326597
ood_shifted_y,conditional_distance_gated,guidance_scale,0.0,0.8220000000000001,0.178,0.05698603764176369,0.2862992584705353,17.774051666259766,0.029019415989750996
