scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
ood_shifted_y,distance_gated,guidance_margin,0.75,0.898,0.102,0.3242260813713074,0.31974706053733826,18.07767105102539,0.029804040997987613
ood_shifted_y,distance_gated,guidance_margin,1.0,0.928,0.072,0.4882516860961914,0.34368792176246643,18.389474868774414,0.028731707978295162
ood_shifted_y,distance_gated,guidance_margin,1.25,0.954,0.046,0.6322205066680908,0.37105944752693176,18.767499923706055,0.028850458998931572
ood_shifted_y,distance_gated,guidance_margin,1.5,0.988,0.012,0.6427526473999023,0.4021562933921814,19.229820251464844,0.02969183400273323
ood_shifted_y,distance_gated,guidance_margin,1.75,0.994,0.006,0.7768191695213318,0.44029679894447327,19.820241928100586,0.028815291996579617
ood_shifted_y,distance_gated,guidance_margin,2.0,0.998,0.002,0.48362991213798523,0.4882177710533142,20.5759220123291,0.029559000016888604
ood_shifted_y,distance_gated,guidance_margin,2.5,1.0,0.0,1.3278875350952148,0.630458414554596,22.73673439025879,0.02755274999071844
ood_double_gap,baseline,guidance_margin,0.0,0.558,0.442,0.06087086722254753,0.26924341917037964,17.414791107177734,0.02219741599401459
ood_double_gap,constant,guidance_margin,0.0,0.5820000000000001,0.418,0.1619475781917572,0.282081663608551,17.60692024230957,0.02839029100141488
ood_double_gap,constant,guidance_margin,0.25,0.6579999999999999,0.342,0.2792123556137085,0.30153074860572815,17.88116455078125,0.027330666984198615
ood_double_gap,constant,guidance_margin,0.5,0.736,0.264,0.39354267716407776,0.33870837092399597,18.401185989379883,0.028817375015933067
ood_double_gap,constant,guidance_margin,0.75,0.8140000000000001,0.186,0.26623305678367615,0.40391048789024353,19.309938430786133,0.028657165996264666
ood_double_gap,constant,guidance_margin,1.0,0.874,0.126,0.5537791848182678,0.5215319395065308,20.90853500366211,0.029608958982862532
ood_double_gap,constant,guidance_margin,1.25,0.906,0.094,0.517054557800293,0.7715689539909363,23.94199562072754,0.028228624985786155
ood_double_gap,constant,guidance_margin,1.5,0.948,0.052,0.536314070224762,1.3351988792419434,29.569726943969727,0.028755292005371302
ood_double_gap,constant,guidance_margin,1.75,0.964,0.036,0.5660074949264526,2.6180431842803955,39.475303649902344,0.02887104099499993
ood_double_gap,constant,guidance_margin,2.0,0.962,0.038,0.6463285088539124,5.444077491760254,55.577056884765625,0.029133458010619506
ood_double_gap,constant,guidance_margin,2.5,0.988,0.012,0.5916685461997986,20.451868057250977,108.47212219238281,0.028371041000355035
ood_double_gap,distance_gated,guidance_margin,0.0,0.5820000000000001,0.418,0.1619475781917572,0.282081663608551,17.60692024230957,0.03294500001356937
ood_double_gap,distance_gated,guidance_margin,0.25,0.648,0.352,0.2757349908351898,0.3007177710533142,17.86882781982422,0.03273841700865887
ood_double_gap,distance_gated,guidance_margin,0.5,0.716,0.284,0.38119640946388245,0.33131566643714905,18.287399291992188,0.03304541698889807
ood_double_gap,distance_gated,guidance_margin,0.75,0.782,0.218,0.3713027834892273,0.3768114447593689,18.90193748474121,0.03296904201852158
ood_double_gap,distance_gated,guidance_margin,1.0,0.84,0.16,0.286784291267395,0.44346192479133606,19.807266235351562,0.0330364579858724
ood_double_gap,distance_gated,guidance_margin,1.25,0.87,0.13,0.5830063819885254,0.5576066374778748,21.314590454101562,0.03220679200603627
ood_double_gap,distance_gated,guidance_margin,1.5,0.91,0.09,0.5057284832000732,0.7785889506340027,23.945472717285156,0.032847791997483
ood_double_gap,distance_gated,guidance_margin,1.75,0.942,0.058,0.5016655325889587,1.2131633758544922,28.392385482788086,0.03296041599242017
ood_double_gap,distance_gated,guidance_margin,2.0,0.948,0.052,0.7317562103271484,2.0694706439971924,35.596336364746094,0.03194637497654185
ood_double_gap,distance_gated,guidance_margin,2.5,0.974,0.026,0.6642847657203674,6.739382743835449,62.06564712524414,0.032671666995156556
